Timeline,Start time,Duration,Row,Instance number,CROSSING,FIRST PHASE,OFFSIDE,PEN AREA ENTRY,POSSESSION THIRDS,SECOND PHASE,SHOOTING,TRANSITION,Ungrouped,Notes,Flags,Opposition,Date
LIVE CODE,665.1011791,4,Start,1,,,,,,,,,,,,PNG,15/04/2026
LIVE CODE,4835.327449,4,Start,2,,,,,,,,,,,,PNG,15/04/2026
LIVE CODE,664.1011791,38.54953679,HOME POSSESSION,1,"Cross Unsuccessful, Cross Unsuccessful",,,,"P-M3, P-F3",,,,"SEAM THREE ENTRY, CROSSES, CROSSES",,,PNG,15/04/2026
LIVE CODE,727.4456128,16.304461,HOME POSSESSION,2,,,,,"P-D3, P-M3",,,,,,,PNG,15/04/2026
LIVE CODE,750.2525067,16.59292817,HOME POSSESSION,3,,,,,P-M3,,,,,,,PNG,15/04/2026
LIVE CODE,776.2460071,13.099903,HOME POSSESSION,4,,,,,P-M3,,,,,,,PNG,15/04/2026
LIVE CODE,789.7412619,25.32971308,HOME POSSESSION,5,,,,,P-M3,,,,,,,PNG,15/04/2026
LIVE CODE,814.5460999,17.73318929,HOME POSSESSION,6,,,,,P-M3,,,,SEAM 2 ENTRY,,,PNG,15/04/2026
LIVE CODE,842.5424563,19.95591317,HOME POSSESSION,7,,,,PEN AREA ENTRY,"P-D3, P-F3",,SHOT,,SEAM THREE ENTRY,,,PNG,15/04/2026
LIVE CODE,895.2928279,13.45317133,HOME POSSESSION,8,,,,PEN AREA ENTRY,P-F3,,,,,,,PNG,15/04/2026
LIVE CODE,952.2722399,7.373694083,HOME POSSESSION,9,,,,,P-M3,,,,,,,PNG,15/04/2026
LIVE CODE,964.3255286,6.236917918,HOME POSSESSION,10,,,,,P-M3,,,,,,,PNG,15/04/2026
LIVE CODE,972.2094408,6.985002418,HOME POSSESSION,11,,,,,P-M3,,,ATTACKING TRANSITION,,,,PNG,15/04/2026
LIVE CODE,978.9455984,30.79820867,HOME POSSESSION,12,,,,,P-F3,,,ATTACKING TRANSITION,,,,PNG,15/04/2026
LIVE CODE,1028.031907,15.82232592,HOME POSSESSION,13,,,,,P-M3,,,,SEAM 2 ENTRY,,,PNG,15/04/2026
LIVE CODE,1044.845826,17.20000371,HOME POSSESSION,14,,,,,P-M3,,,,,,,PNG,15/04/2026
LIVE CODE,1139.946075,26.32370596,HOME POSSESSION,15,,,,,P-M3,,,,SEAM 2 ENTRY,,,PNG,15/04/2026
LIVE CODE,1171.637124,12.83955483,HOME POSSESSION,16,,,,,"P-M3, P-F3",,,,SEAM 2 ENTRY,,,PNG,15/04/2026
LIVE CODE,1211.474212,18.1688235,HOME POSSESSION,17,Cross Unsuccessful,,,,"P-M3, P-F3",,,,CROSSES,,,PNG,15/04/2026
LIVE CODE,1263.672426,22.57316896,HOME POSSESSION,18,,,,,P-M3,,,,,,,PNG,15/04/2026
LIVE CODE,1302.343447,31.80275742,HOME POSSESSION,19,,,,PEN AREA ENTRY,"P-M3, P-F3",,,,"SEAM 2 ENTRY, SEAM 2 ENTRY",,,PNG,15/04/2026
LIVE CODE,1338.62523,34.81345058,HOME POSSESSION,20,Cross Unsuccessful,,,,"P-M3, P-F3",,,,"SEAM 2 ENTRY, CROSSES",,,PNG,15/04/2026
LIVE CODE,1370.43868,15.80610533,HOME POSSESSION,21,,,,,P-M3,,,,SEAM 2 ENTRY,,,PNG,15/04/2026
