Timeline,Start time,Duration,Row,Instance number,CROSSING,FIRST PHASE,OFFSIDE,PEN AREA ENTRY,POSSESSION THIRDS,SECOND PHASE,SHOOTING,TRANSITION,Ungrouped,Notes,Flags
LIVE,46.21833333333336,34.572999999999865,HOME POSSESSION,1,,,,,"P-M3, P-M3",,,,SEAM 2 ENTRY,,
LIVE,81.41033333333314,27.447000000000116,HOME POSSESSION,2,,,,,"P-M3, P-F3",,,,SEAM 2 ENTRY,,
LIVE,108.69933333333336,3.6319999999998345,HOME POSSESSION,3,,,,,,,,,,,
LIVE,111.01033333333328,5.399999999999864,HOME POSSESSION,4,,,,,,,,,,,
LIVE,143.54633333333334,7.764999999999873,HOME POSSESSION,5,,,,,"P-M3, P-F3",,SHOT,,,,
LIVE,169.02633333333335,21.867999999999938,HOME POSSESSION,6,Cross Unsuccessful,,,,"P-M3, P-F3",,,,SEAM 2 ENTRY,,
LIVE,189.11433333333332,12.495999999999867,HOME POSSESSION,7,Cross Unsuccessful,,,,P-F3,LBSB - WIN,,,,,
LIVE,205.48133333333328,24.526000000000067,HOME POSSESSION,8,,,,,P-F3,,,,SEAM 2 ENTRY,,
LIVE,234.66033333333314,15.848000000000184,HOME POSSESSION,9,Cross Successful,,,,"P-M3, P-F3",,SHOT,,,,
LIVE,275.2583333333333,11.64799999999991,HOME POSSESSION,10,,,,,P-M3,,,,SEAM 2 ENTRY,,
LIVE,290.1293333333332,21.779999999999973,HOME POSSESSION,11,,,,,P-F3,,,,SEAM 2 ENTRY,,
LIVE,320.8439256373938,15.266407695939392,HOME POSSESSION,12,,LBFB - WIN,,PEN AREA ENTRY,,,"ON TARGET, SHOT, GOAL, ON TARGET, SHOT",,,,
LIVE,325.27133333333325,10.838999999999942,HOME POSSESSION,13,,LBFB - WIN,,PEN AREA ENTRY,,,"ON TARGET, SHOT, GOAL, ON TARGET, SHOT",,,,
LIVE,377.3453333333333,34.261999999999944,HOME POSSESSION,14,,LBFB - WIN,,,,LBSB - WIN,,,,,
LIVE,445.7913333333332,28.919000000000096,HOME POSSESSION,15,,,,PEN AREA ENTRY,"P-M3, P-F3",,SHOT,,SEAM 2 ENTRY,,
LIVE,513.4113333333333,23.39099999999985,HOME POSSESSION,16,,,,,P-M3,,,,SEAM 2 ENTRY,,
LIVE,538.1053333333333,19.242999999999938,HOME POSSESSION,17,,,,,P-M3,,,,,,
LIVE,557.5113333333333,28.39996687022483,HOME POSSESSION,18,Cross Successful,,,"PEN AREA ENTRY, PEN AREA ENTRY","P-M3, P-D3, P-F3",,SHOT,,"SEAM 2 ENTRY, SEAM THREE ENTRY",,
LIVE,626.3603333333332,15.851000000000113,HOME POSSESSION,19,,,,,P-M3,,,,,,
LIVE,643.4773333333331,16.341000000000122,HOME POSSESSION,20,,,,,"P-M3, P-F3",,,,SEAM 2 ENTRY,,
LIVE,664.2263333333332,26.480999999999995,HOME POSSESSION,21,,,,,P-M3,,,,SEAM 2 ENTRY,,
LIVE,708.6733333333333,6.7349999999999,HOME POSSESSION,22,,,,,"P-M3, P-M3, P-F3",,,,,,
LIVE,715.7103333333333,32.99599999999987,HOME POSSESSION,23,,,,PEN AREA ENTRY,"P-M3, P-F3",,,,SEAM 2 ENTRY,,
LIVE,759.7873333333333,7.7569999999998345,HOME POSSESSION,24,,,,,"P-M3, P-F3",,,,,,
LIVE,766.7113333333333,11.499000000000024,HOME POSSESSION,25,Cross Unsuccessful,,,,"P-M3, P-F3",,,,,,
LIVE,778.6593333333332,26.550000000000182,HOME POSSESSION,26,,,,,"P-M3, P-F3",,,,,,
LIVE,827.3093333333333,25.200000000000045,HOME POSSESSION,27,,,,,"P-D3, P-D3, P-M3",,,,SEAM 2 ENTRY,,
LIVE,860.5093333333333,40.29399999999987,HOME POSSESSION,28,,,,,"P-D3, P-M3",,,,,,
LIVE,905.2553333333332,21.05600000000004,HOME POSSESSION,29,,,,,"P-M3, P-F3",,,,,,
LIVE,924.1323333333333,10.792999999999893,HOME POSSESSION,30,,,,,P-M3,,,,,,
LIVE,1026.3543333333332,15.156999999999698,HOME POSSESSION,31,,,,,P-M3,,,,,,
LIVE,1060.304333333333,24.907000000000153,HOME POSSESSION,32,,,,,"P-D3, P-F3",,,,,,
LIVE,1084.7693333333332,11.740999999999985,HOME POSSESSION,33,,,,,P-F3,,,,,,
LIVE,1113.208333333333,6.554000000000087,HOME POSSESSION,34,,,,,"P-M3, P-F3, P-F3",,,,,,
LIVE,1122.422333333333,8.189000000000306,HOME POSSESSION,35,,,,,P-F3,,"ON TARGET, SHOT",ATTACKING TRANSITION,,,
LIVE,1139.6063333333332,27.572999999999865,HOME POSSESSION,36,,,,,P-M3,,,,SEAM 2 ENTRY,,
LIVE,1168.3413333333333,15.065000000000055,HOME POSSESSION,37,,,,,P-M3,,,ATTACKING TRANSITION,,,
LIVE,1183.8253333333332,18.983999999999924,HOME POSSESSION,38,,,,PEN AREA ENTRY,"P-M3, P-F3",,,,"SEAM 2 ENTRY, SEAM THREE ENTRY",,
LIVE,1307.4213333333332,11.223999999999705,HOME POSSESSION,39,,,,,P-M3,,,ATTACKING TRANSITION,SEAM 2 ENTRY,,
LIVE,1325.4193333333333,32.30199999999968,HOME POSSESSION,40,,,,,"P-M3, P-D3",,,,,,
LIVE,1356.936333333333,17.17300000000023,HOME POSSESSION,41,Cross Successful,,,,"P-M3, P-F3",,SHOT,,SEAM 2 ENTRY,,
LIVE,1406.480333333333,16.027000000000044,HOME POSSESSION,42,,,,,"P-D3, P-M3",,,ATTACKING TRANSITION,SEAM 2 ENTRY,,
LIVE,1441.181333333333,14.63000000000011,HOME POSSESSION,43,,,,"PEN AREA ENTRY, PEN AREA ENTRY","P-M3, P-M3, P-F3, P-D3",,SHOT,,"SEAM 2 ENTRY, SEAM THREE ENTRY",,
LIVE,1479.811333333333,14.894999999999982,HOME POSSESSION,44,,,,,"P-M3, P-D3",,,,,,
LIVE,1509.491333333333,34.91500000000042,HOME POSSESSION,45,,,,PEN AREA ENTRY,P-M3,,"SHOT, SHOT",,SEAM 2 ENTRY,,
LIVE,1571.3093333333331,34.096000000000004,HOME POSSESSION,46,Cross Unsuccessful,LBFB - WIN,,,"P-M3, P-F3",,,,SEAM 2 ENTRY,,
LIVE,1684.909333333333,52.60199999999986,HOME POSSESSION,47,,,,PEN AREA ENTRY,"P-M3, P-F3, P-F3, P-M3",,,,"SEAM 2 ENTRY, SEAM THREE ENTRY",,
LIVE,1756.844333333333,9.41000000000031,HOME POSSESSION,48,,,,,P-F3,,,,,,
LIVE,1786.373333333333,25.333000000000084,HOME POSSESSION,49,,,,PEN AREA ENTRY,P-M3,,"ON TARGET, SHOT",ATTACKING TRANSITION,SEAM 2 ENTRY,,
LIVE,1811.2093333333332,11.429000000000087,HOME POSSESSION,50,Cross Successful,,,,"P-M3, P-F3",,,,SEAM 2 ENTRY,,
LIVE,1835.9083333333333,6.996999999999844,HOME POSSESSION,51,,LBFB - WIN,,,P-D3,,,,,,
LIVE,1848.8143333333333,43.87599999999975,HOME POSSESSION,52,,,,PEN AREA ENTRY,"P-D3, P-M3, P-F3",,"ON TARGET, SHOT",,"SEAM 2 ENTRY, SEAM THREE ENTRY",,
LIVE,1889.690333333333,9.288000000000011,HOME POSSESSION,53,Cross Successful,,,,P-F3,,,,,,
LIVE,1899.1063333333332,27.733000000000175,HOME POSSESSION,54,Cross Successful,,,,"P-M3, P-F3",,,,SEAM 2 ENTRY,,
LIVE,1924.581333333333,5.5300000000002,HOME POSSESSION,55,,,,,P-F3,,SHOT,,,,
LIVE,1962.7903333333334,13.52099999999973,HOME POSSESSION,56,,,,,"P-M3, P-M3",,,,SEAM 2 ENTRY,,
LIVE,1993.3293333333331,23.480000000000018,HOME POSSESSION,57,,,,,"P-M3, P-F3",,,,SEAM THREE ENTRY,,
