Timeline,Start time,Duration,Row,Instance number,CROSSING,FIRST PHASE,OFFSIDE,PEN AREA ENTRY,POSSESSION THIRDS,SECOND PHASE,SHOOTING,TRANSITION,Ungrouped,Notes,Flags,Opposition,Date
FF vs AMS,139.13,3,KICK OFF,1,,,,,,,,,,,,American Samoa,05/03/2026
FF vs AMS,3206.88292,3,KICK OFF,2,,,,,,,,,,,,American Samoa,05/03/2026
FF vs AMS,137.63,10.92,AWAY POSSESSION,1,,,,,P-M3,,,,,,,American Samoa,05/03/2026
FF vs AMS,276.11,18.95999999,AWAY POSSESSION,2,,,,,P-D3,,,,,,,American Samoa,05/03/2026
FF vs AMS,308.51,11.16,AWAY POSSESSION,3,,,,,P-D3,,,,,,,American Samoa,05/03/2026
FF vs AMS,339.59,21.36,AWAY POSSESSION,4,,,,,P-M3,,,,,,,American Samoa,05/03/2026
FF vs AMS,388.43,6.96,AWAY POSSESSION,5,,,,,P-D3,,,,,,,American Samoa,05/03/2026
FF vs AMS,413.51,8.4,AWAY POSSESSION,6,,,,,P-D3,,,,,,,American Samoa,05/03/2026
FF vs AMS,461.51,5.52,AWAY POSSESSION,7,,,,,P-D3,,,,,,,American Samoa,05/03/2026
FF vs AMS,495.23,9,AWAY POSSESSION,8,,,,,P-M3,,,Attacking Transition,,,,American Samoa,05/03/2026
FF vs AMS,568.0699999,7.079999999,AWAY POSSESSION,9,,,,,P-D3,,,,,,,American Samoa,05/03/2026
FF vs AMS,625.1899999,6.359999999,AWAY POSSESSION,10,,,,,P-D3,,,,,,,American Samoa,05/03/2026
FF vs AMS,650.7499999,6.119999999,AWAY POSSESSION,11,,,,,P-M3,,,,,,,American Samoa,05/03/2026
FF vs AMS,663.56,6.119999997,AWAY POSSESSION,12,,,,,P-M3,,,,,,,American Samoa,05/03/2026
FF vs AMS,675.44,10.2,AWAY POSSESSION,13,,,,,P-M3,,,Attacking Transition,,,,American Samoa,05/03/2026
FF vs AMS,702.32,16.79999999,AWAY POSSESSION,14,,,,,P-D3,,,,,,,American Samoa,05/03/2026
FF vs AMS,719.36,4.56,AWAY POSSESSION,15,,,,,,,,,,,,American Samoa,05/03/2026
FF vs AMS,733.64,5.399999999,AWAY POSSESSION,16,,,,,P-M3,,,,,,,American Samoa,05/03/2026
FF vs AMS,754.16,20.75999999,AWAY POSSESSION,17,,,,,P-D3,,,,,,,American Samoa,05/03/2026
FF vs AMS,816.9199999,34.08,AWAY POSSESSION,18,,,,,P-D3,,,,SEAM 2 ENTRY,,,American Samoa,05/03/2026
FF vs AMS,864.5599999,12.48,AWAY POSSESSION,19,,,,,P-M3,,,Attacking Transition,,,,American Samoa,05/03/2026
FF vs AMS,899.9599999,35.16,AWAY POSSESSION,20,,,,,P-M3,,,,SEAM 2 ENTRY,,,American Samoa,05/03/2026
FF vs AMS,947.2399999,14.88,AWAY POSSESSION,21,,,,,"P-D3, P-M3",,,,,,,American Samoa,05/03/2026
FF vs AMS,1039.04,3.929960171,AWAY POSSESSION,22,,,,,,,,,,,,American Samoa,05/03/2026
FF vs AMS,1045.24996,8.279999965,AWAY POSSESSION,23,,,,,P-D3,,,,,,,American Samoa,05/03/2026
FF vs AMS,1200.35244,22.31999987,AWAY POSSESSION,24,,,,,P-D3,,,,,,,American Samoa,05/03/2026
FF vs AMS,1238.15244,19.43999989,AWAY POSSESSION,25,,,,,P-D3,,,,,,,American Samoa,05/03/2026
FF vs AMS,1276.552439,15.59999992,AWAY POSSESSION,26,,,,,P-M3,,,,,,,American Samoa,05/03/2026
FF vs AMS,1315.672439,12.35999994,AWAY POSSESSION,27,,,,,P-M3,,,,,,,American Samoa,05/03/2026
FF vs AMS,1337.992439,15.59999991,AWAY POSSESSION,28,,,,,"P-D3, P-M3",,,Attacking Transition,,,,American Samoa,05/03/2026
FF vs AMS,1461.712438,11.27999995,AWAY POSSESSION,29,,,,,P-M3,,,Attacking Transition,,,,American Samoa,05/03/2026
FF vs AMS,1496.872438,10.07999995,AWAY POSSESSION,30,,,,,P-M3,,,,,,,American Samoa,05/03/2026
FF vs AMS,1528.072438,21.59999988,AWAY POSSESSION,31,,,,,P-M3,,,,,,,American Samoa,05/03/2026
FF vs AMS,1657.18,20.63999998,AWAY POSSESSION,32,,,,,P-D3,,,,,,,American Samoa,05/03/2026
FF vs AMS,1686.82,12.71999999,AWAY POSSESSION,33,,,,,P-M3,,,Attacking Transition,,,,American Samoa,05/03/2026
FF vs AMS,1714.54,6.839999994,AWAY POSSESSION,34,,,,,P-M3,,,Attacking Transition,,,,American Samoa,05/03/2026
FF vs AMS,1741.9,18.23999998,AWAY POSSESSION,35,,,,,P-D3,,,,SEAM 2 ENTRY,,,American Samoa,05/03/2026
FF vs AMS,1777.54,13.79999998,AWAY POSSESSION,36,,,,,P-M3,,,,,,,American Samoa,05/03/2026
FF vs AMS,1848.7,42.35999995,AWAY POSSESSION,37,,,,,"P-M3, P-D3",,,,SEAM 2 ENTRY,,,American Samoa,05/03/2026
FF vs AMS,1890.1,27.59999997,AWAY POSSESSION,38,,,,,"P-D3, P-M3",,,,,,,American Samoa,05/03/2026
FF vs AMS,1930.3,5.999999993,AWAY POSSESSION,39,,,,,P-D3,,,,,,,American Samoa,05/03/2026
FF vs AMS,2208.77664,9.359999966,AWAY POSSESSION,40,,,,,P-D3,,,,,,,American Samoa,05/03/2026
FF vs AMS,2220.41664,4.91999999,AWAY POSSESSION,41,,,,,P-M3,,,,,,,American Samoa,05/03/2026
FF vs AMS,2247.89664,17.75999992,AWAY POSSESSION,42,,,,,P-D3,,,,SEAM 2 ENTRY,,,American Samoa,05/03/2026
FF vs AMS,2291.36,15.11999994,AWAY POSSESSION,43,,,,,P-D3,,,,,,,American Samoa,05/03/2026
FF vs AMS,2403.199999,3.719999996,AWAY POSSESSION,44,,,,,,,,,,,,American Samoa,05/03/2026
FF vs AMS,2426.36,2.56,AWAY POSSESSION,45,,,,,P-D3,,,,,,,American Samoa,05/03/2026
FF vs AMS,2431.08,15.94670047,AWAY POSSESSION,46,,,,,P-D3,,,,,,,American Samoa,05/03/2026
FF vs AMS,2446.3067,21.5999999,AWAY POSSESSION,47,,,,,P-M3,,,,,,,American Samoa,05/03/2026
