Timeline,Start time,Duration,Row,Instance number,ASSIST,ATTACKING THIRD,BUILD UP PROGRESSION,CROSS,CROSS ,Cross Destination,Cross Outcome,Cross Type,DEFENSIVE THIRD,Defending Actions,GOAL,Goalkeeper Actions,MIDDLE THIRD,OFFSIDE,Outcome,PASS INTO S2,PASS INTO S3,POSSESSION,POSSESSION END,Passing Destination,Passing Direction,REC IN S2,REC IN S3,REGAINS,REVIEW,SEAM THREE,SEAM TWO,SHOOTING,Seam Two Output,Shooting Heat Graph,Transition,Ungrouped,Notes,Flags,Opposition,Date
MD1 vs Samoa,1154.186701,9.099999932,HOME POSSESSION,1,,,,,,,,,,,,,,,,,,P-M3,,,,,,REGAINS,,,,,,,,,,,Samoa,27/02/2026
MD1 vs Samoa,1170.786701,16.0832321,HOME POSSESSION,2,,,P-F3,,,,,,,,GOAL,,,,,,,P-M3,,,,REC IN S2,,REGAINS,,,,,,,Attacking Transition,,,,Samoa,27/02/2026
MD1 vs Samoa,1218.7699,5.999999956,HOME POSSESSION,3,,,,,,,,,,,,,,,,,,P-M3,,,,,,REGAINS,,,,,,,,,,,Samoa,27/02/2026
MD1 vs Samoa,1252.8699,1.999999986,HOME POSSESSION,4,,,,,,,,,,,,,,,,,,P-M3,,,,,,,,,,,,,,,,,Samoa,27/02/2026
MD1 vs Samoa,1258.9699,15.29999988,HOME POSSESSION,5,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,Samoa,27/02/2026
MD1 vs Samoa,1276.4699,2.199999984,HOME POSSESSION,6,,,,,,,,,,,,,,,,,,P-M3,,,,,,REGAINS,,,,,,,,,,,Samoa,27/02/2026
MD1 vs Samoa,1282.755767,6.399999953,HOME POSSESSION,7,,F3,P-F3,,,,,,,,,,,,,,,P-M3,,,,,,REGAINS,,,,,,,Attacking Transition,,,,Samoa,27/02/2026
MD1 vs Samoa,1333.4242,9.03239996,HOME POSSESSION,8,,F3,P-F3,,,,,,,,,,,,,,,P-M3,,,,,,REGAINS,,,,,,,Attacking Transition,,,,Samoa,27/02/2026
MD1 vs Samoa,1343.124067,15.79996665,HOME POSSESSION,9,,,,,,,,,,,,,,,,PASS INTO S2,,P-M3,,,,,,REGAINS,,,,,,,,,,,Samoa,27/02/2026
MD1 vs Samoa,1350.924,30.89999977,HOME POSSESSION,10,,,,,,,,,,,,,,,,PASS INTO S2,,P-M3,,,,REC IN S2,REC IN S3,,,,,,,,,,,,Samoa,27/02/2026
MD1 vs Samoa,1417.5186,2.999999977,HOME POSSESSION,11,,,,,,,,,,,,,,,,,,P-M3,,,,,,,,,,,,,,,,,Samoa,27/02/2026
MD1 vs Samoa,1422.5186,7.399999945,HOME POSSESSION,12,,,,,,,,,,,,,,,,,,P-M3,,,,,,REGAINS,,,,,,,,,,,Samoa,27/02/2026
MD1 vs Samoa,1440.218567,20.89993334,HOME POSSESSION,13,,,,,,,,,,,,,,,,PASS INTO S2,,P-M3,,,,REC IN S2,,,,,,,,,,,,,Samoa,27/02/2026
MD1 vs Samoa,1471.2185,29.59999978,HOME POSSESSION,14,,,,,,,,,,,,,,,,PASS INTO S2,,"P-M3, P-D3",,,,"REC IN S2, REC IN S2",,,,,,,,,,,,,Samoa,27/02/2026
MD1 vs Samoa,1503.3185,3.499999974,HOME POSSESSION,15,,,,,,,,,,,,,,,,,,P-D3,,,,,,REGAINS,,,,,,,,,,,Samoa,27/02/2026
MD1 vs Samoa,1509.742967,6.199999953,HOME POSSESSION,16,,,P-F3,,,,,,,,,,,,,,,,,,,,,,,,,SHOT,,,,,,,Samoa,27/02/2026
MD1 vs Samoa,1582.85765,27.4,HOME POSSESSION,17,,F3,,,,,,,,,,,,,,"PASS INTO S2, PASS INTO S2",,"P-M3, P-D3",,,,"REC IN S2, REC IN S2",,,,,,,,,,,,,Samoa,27/02/2026
MD1 vs Samoa,1612.15765,28.19998344,HOME POSSESSION,18,,,P-F3,,,,,,,,,,,,,PASS INTO S2,PASS INTO S3,P-M3,,,,"REC IN S2, REC IN S2",REC IN S3,,,,,,,,,,,,Samoa,27/02/2026
MD1 vs Samoa,1655.457633,4.05,HOME POSSESSION,19,,,,,,,,,,,,,,,,,,,,,,,,REGAINS,,,,,,,,,,,Samoa,27/02/2026
MD1 vs Samoa,1663.334762,18.87287182,HOME POSSESSION,20,,,P-F3,,,,,,,,,,,,,,,,,,,,,REGAINS,,,,SHOT,,,Attacking Transition,,,,Samoa,27/02/2026
MD1 vs Samoa,1719.357633,22.7,HOME POSSESSION,21,,,,,,,,,,,,,M3,,,PASS INTO S2,,P-M3,,,,REC IN S2,REC IN S3,,,,,,,,,,,,Samoa,27/02/2026
MD1 vs Samoa,1743.857633,19.65,HOME POSSESSION,22,,,P-F3,,,,,,,,,,,,,PASS INTO S2,,P-M3,,,,REC IN S2,,REGAINS,,,,SHOT,,,,,,,Samoa,27/02/2026
MD1 vs Samoa,1770.207633,18.7,HOME POSSESSION,23,,,P-F3,,,,,,,,,,,,,,,,,,,REC IN S2,,,,,,,,,,,,,Samoa,27/02/2026
MD1 vs Samoa,1792.407633,8.5,HOME POSSESSION,24,,,,,,,,,,,,,,,,PASS INTO S2,,P-M3,,,,REC IN S2,,REGAINS,,,,,,,,,,,Samoa,27/02/2026
MD1 vs Samoa,1805.107633,16.4,HOME POSSESSION,25,,,,,,,,,,,,,,,,PASS INTO S2,,P-M3,,,,REC IN S2,,REGAINS,,,,,,,,,,,Samoa,27/02/2026
MD1 vs Samoa,1836.757633,3.3,HOME POSSESSION,26,,,,,,,,,,,,,,,,,,P-M3,,,,,,REGAINS,,,,,,,,,,,Samoa,27/02/2026
MD1 vs Samoa,1854.357633,24.35,HOME POSSESSION,27,,,P-F3,,,,,,,,,,M3,,,PASS INTO S2,,P-M3,,,,REC IN S2,,,,,,"SHOT, SHOT",,,,,,,Samoa,27/02/2026
MD1 vs Samoa,1889.907633,25.45,HOME POSSESSION,28,,,,,,,,,,,,,,,,PASS INTO S2,,P-M3,,,,REC IN S2,,REGAINS,,,,SHOT,,,,,,,Samoa,27/02/2026
MD1 vs Samoa,2008.348933,4.6,HOME POSSESSION,29,,,,,,,,,,,,,,,,,,P-D3,,,,,,REGAINS,,,,,,,,,,,Samoa,27/02/2026
MD1 vs Samoa,2016.448933,15.8,HOME POSSESSION,30,,,,,,,,,,,,,,,,PASS INTO S2,,P-D3,,,,"REC IN S2, REC IN S2",,,,,,,,,,,,,Samoa,27/02/2026
MD1 vs Samoa,2036.448933,6.9,HOME POSSESSION,31,,F3,P-F3,,,,,,,,,,,,,,,P-M3,,,,,,,,,,,,,Attacking Transition,,,,Samoa,27/02/2026
MD1 vs Samoa,2196.4395,37.4999998,HOME POSSESSION,32,,,,,,,,,,,,,,,,PASS INTO S2,,P-M3,,,,REC IN S2,,,,,,,,,,,,,Samoa,27/02/2026
MD1 vs Samoa,2237.289467,16.19999991,HOME POSSESSION,33,,,,,,,,,,,,,,,,,,P-M3,,,,,,REGAINS,,,,,,,,,,,Samoa,27/02/2026
MD1 vs Samoa,2264.289433,7.499999959,HOME POSSESSION,34,,,,,,,,,,,,,,,,,,P-M3,,,,,,REGAINS,,,,,,,,,,,Samoa,27/02/2026
MD1 vs Samoa,2291.732633,0.2,HOME POSSESSION,35,,,,,,,,,,,,,,,,,,P-M3,,,,,,,,,,,,,,,,,Samoa,27/02/2026
MD1 vs Samoa,2297.032633,16.39999991,HOME POSSESSION,36,,,,,,,,,,,,,,,,,,P-M3,,,,,,,,,,,,,,,,,Samoa,27/02/2026
MD1 vs Samoa,2343.371733,9.09999995,HOME POSSESSION,37,,,,,,,,,,,,,,,,,,P-M3,,,,,,,,,,,,,,,,,Samoa,27/02/2026
MD1 vs Samoa,2366.771733,4.599999976,HOME POSSESSION,38,,,,,,,,,,,,,,,,,,,,,,,,REGAINS,,,,,,,,,,,Samoa,27/02/2026
MD1 vs Samoa,2393.071733,22.45090018,HOME POSSESSION,39,,,P-F3,,,,,,,,,,,,,,PASS INTO S3,P-M3,,,,REC IN S2,REC IN S3,,,,,,,,,,,,Samoa,27/02/2026
MD1 vs Samoa,2443.8721,6.399999966,HOME POSSESSION,40,,,P-F3,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,Samoa,27/02/2026
MD1 vs Samoa,2458.172067,6.399999965,HOME POSSESSION,41,,,P-F3,,,,,,,,,,,,,,,,,,,,,REGAINS,,,,,,,Attacking Transition,,,,Samoa,27/02/2026
MD1 vs Samoa,2469.222033,7.099999962,HOME POSSESSION,42,,,P-F3,,,,,,,,,,,,,,,,,,,,,"REGAINS, REGAINS",,,,,,,,,,,Samoa,27/02/2026
MD1 vs Samoa,2474.222,12.79999993,HOME POSSESSION,43,,F3,P-F3,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,Samoa,27/02/2026
MD1 vs Samoa,2507.793867,12.69999993,HOME POSSESSION,44,,,P-F3,,,,,,,,,,,,,,,,,,,,,REGAINS,,,,,,,Attacking Transition,,,,Samoa,27/02/2026
MD1 vs Samoa,2522.993867,4.363733467,HOME POSSESSION,45,,,P-F3,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,Samoa,27/02/2026
MD1 vs Samoa,2536.4576,8.567000037,HOME POSSESSION,46,,,P-F3,,,,,,,,,,,,,PASS INTO S2,,,,,,REC IN S2,,REGAINS,,,,,,,,,,,Samoa,27/02/2026
MD1 vs Samoa,2546.174567,4.299999977,HOME POSSESSION,47,,,P-F3,,,,,,,,,,,,,,,,,,,,,REGAINS,,,,SHOT,,,,,,,Samoa,27/02/2026
MD1 vs Samoa,2584.491833,14.29996664,HOME POSSESSION,48,,,P-F3,,,,,,,,,,,,,,,,,,,,,REGAINS,,,,"SHOT, SHOT",,,Attacking Transition,,,,Samoa,27/02/2026
MD1 vs Samoa,2628.891767,13.69996666,HOME POSSESSION,49,,F3,P-F3,,,,,,,,,,,,,PASS INTO S2,,,,,,REC IN S2,,REGAINS,,,,,,,,,,,Samoa,27/02/2026
MD1 vs Samoa,2646.409367,20.51942166,HOME POSSESSION,50,,,,,,,,,,,,,,,,PASS INTO S2,PASS INTO S3,P-M3,,,,REC IN S2,REC IN S3,,,,,,,,,,,,Samoa,27/02/2026
MD1 vs Samoa,2680.328767,16.04996658,HOME POSSESSION,51,,,,,,,,,,,,,,,,PASS INTO S2,,P-M3,,,,REC IN S2,,REGAINS,,,,,,,,,,,Samoa,27/02/2026
MD1 vs Samoa,2740.295701,60.74986582,HOME POSSESSION,52,,,,,,,,,,,,,M3,,,,PASS INTO S3,P-M3,,,,,,REGAINS,,,,,,,,,,,Samoa,27/02/2026
MD1 vs Samoa,2803.845567,13.53283336,HOME POSSESSION,53,,,,,,,,,,,,,,,,,,P-M3,,,,,,,,,,,,,,,,,Samoa,27/02/2026
MD1 vs Samoa,2829.0784,32.29999983,HOME POSSESSION,54,,,,,,,,,,,,,,,,PASS INTO S2,,P-M3,,,,REC IN S2,,,,,,SHOT,,,,,,,Samoa,27/02/2026
MD1 vs Samoa,2877.928367,23.05663865,HOME POSSESSION,55,,,,,,,,,,,,,,,,PASS INTO S2,,P-M3,,,,REC IN S2,,REGAINS,,,,,,,,,,,Samoa,27/02/2026
MD1 vs Samoa,2902.935,13.59999993,HOME POSSESSION,56,,,P-F3,,,,,,,,,,,,,,,,,,,,,REGAINS,,,,,,,,,,,Samoa,27/02/2026
MD1 vs Samoa,2928.884967,9.399999949,HOME POSSESSION,57,,,P-F3,,,,,,,,,,M3,,,,,,,,,,,REGAINS,,,,SHOT,,,,,,,Samoa,27/02/2026
